Emp ID|First Name|Last Name|Gender|E Mail|Date of Birth|Date of Joining|Salary|Last % Hike|Phone No. |County|City|Zip
677509|Lois|Walker|F|lois.walker@hotmail.com|3/29/1981|11/24/2003|168251|21%|303-572-8492|Denver|Denver|80224
940761|Brenda|Robinson|F|brenda.robinson@gmail.com|7/31/1970|7/27/2008|51063|27%|225-945-4954|De Soto|Stonewall|71078
428945|Joe|Robinson|M|joe.robinson@gmail.com|6/16/1963|8/3/2016|50155|16%|219-904-2161|Clinton|Michigantown|46057
408351|Diane|Evans|F|diane.evans@yahoo.com|12/4/1977|4/16/1999|180294|1%|215-793-6791|Crawford|Hydetown|16328
193819|Benjamin|Russell|M|benjamin.russell@charter.net|4/17/1977|7/25/2013|117642|13%|262-404-2252|Waupaca|Fremont|54940
499687|Patrick|Bailey|M|patrick.bailey@aol.com|9/27/1982|7/22/2005|72305|5%|319-812-6957|Madison|Macksburg|50155
539712|Nancy|Baker|F|nancy.baker@bp.com|6/13/1995|9/14/2016|98189|0%|229-336-5117|Fulton|Atlanta|30334
380086|Carol|Murphy|F|carol.murphy@gmail.com|6/30/1958|1/28/1983|60918|20%|216-336-0009|Clinton|Blanchester|45107
477616|Frances|Young|F|frances.young@gmail.com|6/9/1959|4/27/1994|121587|28%|210-819-9765|Starr|Delmita|78536
162402|Diana|Peterson|F|diana.peterson@hotmail.co.uk|11/13/1987|2/17/2014|43010|4%|479-783-5656|Carroll|Eureka Springs|72632
231469|Ralph|Flores|M|ralph.flores@yahoo.com|2/5/1975|4/14/2009|118457|8%|316-280-2864|Nemaha|Sabetha|66534
153989|Jack|Alexander|M|jack.alexander@gmail.com|5/19/1995|1/5/2017|82965|23%|702-603-3769|Clark|Las Vegas|89170
386158|Melissa|King|F|melissa.king@comcast.net|2/24/1972|11/24/2015|166892|1%|216-605-3731|Washington|New Matamoras|45767
